X,Y,Z,IDS,KRIG,90-71,90-
4750,5050,3050,0.29,0.23,0.117,0.164977
4800,5050,3050,0.04,0.11,0.074,0.108264
4450,5100,3050,0.6,0.64,0.697,0.632021
4500,5100,3050,0.89,0.8,0.714,0.644492
4550,5100,3050,0.82,0.93,1.244,0.832248
4600,5100,3050,0.7,0.74,0.893,0.732551
4650,5100,3050,0.53,0.58,0.499,0.492716
4700,5100,3050,0.79,0.65,0.262,0.324738
4750,5100,3050,0.34,0.27,0.146,0.214106
4800,5100,3050,0.21,0.17,0.099,0.141487
4450,5150,3050,0.55,0.66,0.716,0.607572
4500,5150,3050,0.4,0.56,0.742,0.656153
4550,5150,3050,0.86,0.8,1.328,0.944053
4600,5150,3050,0.91,0.85,1.178,0.929332
4650,5150,3050,0.61,0.63,0.644,0.638005
4700,5150,3050,0.53,0.51,0.355,0.423577
4750,5150,3050,0.2,0.24,0.208,0.279911
4800,5150,3050,0.16,0.23,0.136,0.182327
4450,5200,3050,0.59,0.72,0.710,0.582035
4500,5200,3050,0.76,0.78,0.759,0.688983
4550,5200,3050,0.94,0.89,1.341,1.064579
4600,5200,3050,0.79,0.82,1.518,1.174096
4650,5200,3050,0.54,0.55,0.828,0.811996
4700,5200,3050,0.5,0.45,0.493,0.546416
4750,5200,3050,0.27,0.35,0.301,0.365173
4800,5200,3050,0.21,0.32,0.189,0.2079
4450,5250,3050,0.82,0.79,0.665,0.535596
4500,5250,3050,1.28,1.37,0.773,0.74435
4550,5250,3050,1.31,1.38,1.306,1.186196
4600,5250,3050,0.78,0.86,1.836,1.453243
4650,5250,3050,0.61,0.67,1.097,1.028638
4700,5250,3050,0.96,0.82,0.709,0.690719
4750,5250,3050,0.81,0.69,0.434,0.415475
4800,5250,3050,0.6,0.58,0.256,0.219665
4450,5300,3050,0.86,0.8,0.590,0.480028
4500,5300,3050,1.3,1.25,0.755,0.77412
4550,5300,3050,1.91,1.82,1.337,1.288938
4600,5300,3050,1.57,1.66,2.134,1.711893
