X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4600,5300,3075,2.32,2.49,2.13,2.95
4650,5300,3075,0.92,1.13,1.07,2.2
4700,5300,3075,2.04,1.43,0.85,1.43
4750,5300,3075,1.02,0.69,0.45,0.87
4400,5350,3075,0.54,0.43,0.51,0.45
4450,5350,3075,0.99,1.03,1.35,0.87
4500,5350,3075,1.16,1.16,1.46,1.8
4550,5350,3075,1.19,1.18,1.52,3.15
4600,5350,3075,2.06,2.32,2.67,3.4
4650,5350,3075,1.41,1.37,0.91,2.48
4700,5350,3075,0.76,0.84,0.58,1.53
4400,5400,3075,0.7,0.58,0.58,0.43
4450,5400,3075,0.93,0.91,1.01,0.86
4500,5400,3075,0.93,0.95,1.23,1.81
4550,5400,3075,1.47,1.57,1.81,3.25
4600,5400,3075,2.21,2.26,2.77,3.58
4650,5400,3075,1.3,1.26,1.01,2.53
4700,5400,3075,0.62,0.52,0.51,1.46
4400,5450,3075,0.61,0.64,0.65,0.41
4450,5450,3075,0.92,0.9,1.05,0.82
4500,5450,3075,1.16,1.16,1.47,1.7
4550,5450,3075,2.61,2.7,2.96,3.04
4600,5450,3075,3.61,3.5,4.16,3.37
4650,5450,3075,2.82,2.44,2.34,2.3
4400,5500,3075,0.57,0.63,0.61,0.37
4450,5500,3075,0.59,0.65,0.73,0.73
4500,5500,3075,0.84,0.81,0.71,1.47
4550,5500,3075,1.62,1.32,0.85,2.54
4600,5500,3075,3.5,3.1,2.63,2.8
4650,5500,3075,3.43,3.23,2.34,1.85
4350,5550,3075,0.35,0.5,0.29,0.19
4400,5550,3075,0.58,0.53,0.42,0.33
4450,5550,3075,0.68,0.66,0.72,0.61
4500,5550,3075,0.76,0.7,0.57,1.17
4550,5550,3075,0.54,0.6,0.49,1.91
4600,5550,3075,1.76,1.38,0.74,2.05
4350,5600,3075,0.11,0.31,0.21,0.17
4400,5600,3075,0.48,0.51,0.36,0.28
4450,5600,3075,0.79,0.67,0.6,0.49
4500,5600,3075,0.71,0.64,0.66,0.87
4550,5600,3075,0.74,0.84,0.68,1.31
4350,5650,3075,0.2,0.44,0.23,0.14
4400,5650,3075,0.45,0.53,0.34,0.22
4450,5650,3075,0.69,0.56,0.48,0.37
4500,5650,3075,0.72,0.55,0.6,0.61
4350,5700,3075,0.31,0.48,0.27,0.12
4400,5700,3075,0.51,0.55,0.36,0.18
4700,4900,3050,0.08,0.09,0.1,0.27
4750,4900,3050,0.05,0.07,0.07,0.2
4800,4900,3050,0.06,0.09,0.07,0.15
4450,4950,3050,0.54,0.53,0.67,0.66
4500,4950,3050,0.53,0.47,0.55,0.84
4550,4950,3050,0.41,0.41,0.43,0.83
4600,4950,3050,0.23,0.34,0.31,0.65
4650,4950,3050,0.13,0.15,0.17,0.48
4700,4950,3050,0.09,0.09,0.11,0.35
4750,4950,3050,0.05,0.07,0.08,0.25
4800,4950,3050,0.06,0.09,0.07,0.18
4450,5000,3050,0.53,0.51,0.68,0.68
4500,5000,3050,0.62,0.66,0.78,0.95
4550,5000,3050,0.7,0.73,0.89,1.01
4600,5000,3050,0.39,0.39,0.41,0.84
4650,5000,3050,0.34,0.43,0.35,0.62
4700,5000,3050,0.26,0.25,0.19,0.45
4750,5000,3050,0.08,0.1,0.1,0.32
4800,5000,3050,0.05,0.07,0.07,0.23
4450,5050,3050,0.69,0.73,0.89,0.7
4500,5050,3050,0.66,0.71,0.9,1.06
4550,5050,3050,0.77,0.74,0.92,1.24
4600,5050,3050,0.66,0.64,0.72,1.07
4650,5050,3050,0.41,0.42,0.49,0.81
4700,5050,3050,0.39,0.44,0.45,0.58
4750,5050,3050,0.29,0.23,0.17,0.4
4800,5050,3050,0.04,0.11,0.07,0.28
4450,5100,3050,0.6,0.64,0.75,0.72
4500,5100,3050,0.89,0.8,0.9,1.17
4550,5100,3050,0.82,0.93,1.13,1.5
4600,5100,3050,0.7,0.74,0.9,1.37
4650,5100,3050,0.53,0.58,0.77,1.04
4700,5100,3050,0.79,0.65,0.59,0.74
4750,5100,3050,0.34,0.27,0.19,0.51
4800,5100,3050,0.21,0.17,0.09,0.35
4450,5150,3050,0.55,0.66,0.69,0.74
4500,5150,3050,0.4,0.56,0.7,1.28
4550,5150,3050,0.86,0.8,0.96,1.79
4600,5150,3050,0.91,0.85,0.99,1.72
4650,5150,3050,0.61,0.63,0.79,1.32
4700,5150,3050,0.53,0.51,0.43,0.93
4750,5150,3050,0.2,0.24,0.16,0.63
4800,5150,3050,0.16,0.23,0.08,0.42
4450,5200,3050,0.59,0.72,0.77,0.76
4500,5200,3050,0.76,0.78,0.91,1.39
4550,5200,3050,0.94,0.89,1.03,2.09
4600,5200,3050,0.79,0.82,0.98,2.12
