X,Y,Z,Cu,Dens
1387,1753,831,0.61,2.645544
1402,1753,831,0.59,2.645544
1417,1753,831,0.51,2.645544
1433,1753,831,0.43,2.645544
1448,1753,831,0.36,2.645544
1463,1753,831,0.3,2.645544
1478,1753,831,0.3,2.645544
1311,1463,838,-2,2.645544
1326,1463,838,0.51,2.645544
1341,1463,838,0.61,2.645544
1356,1463,838,0.88,2.645544
1372,1463,838,1.11,2.645544
1387,1463,838,0.96,2.645544
1402,1463,838,0.8,2.645544
1417,1463,838,0.63,2.645544
1433,1463,838,0.5,2.645544
1448,1463,838,0.4,2.645544
1463,1463,838,0.32,2.645544
1478,1463,838,0.32,2.645544
1311,1478,838,0.5,2.645544
1326,1478,838,0.53,2.645544
1341,1478,838,0.62,2.645544
1356,1478,838,0.88,2.645544
1372,1478,838,1.2,2.645544
1387,1478,838,1.02,2.645544
1402,1478,838,0.87,2.645544
1417,1478,838,0.71,2.645544
1433,1478,838,0.56,2.645544
1448,1478,838,0.44,2.645544
1463,1478,838,0.36,2.645544
1478,1478,838,0.36,2.645544
1311,1494,838,0.51,2.645544
1326,1494,838,0.54,2.645544
1341,1494,838,0.63,2.645544
1356,1494,838,0.88,2.645544
1372,1494,838,1.24,2.645544
1387,1494,838,1.08,2.645544
1402,1494,838,0.93,2.645544
1417,1494,838,0.76,2.645544
1433,1494,838,0.62,2.645544
1448,1494,838,0.5,2.645544
1463,1494,838,0.4,2.645544
1478,1494,838,0.4,2.645544
1311,1509,838,0.52,2.645544
1326,1509,838,0.55,2.645544
1341,1509,838,0.65,2.645544
1356,1509,838,0.89,2.645544
1372,1509,838,1.24,2.645544
1387,1509,838,1.14,2.645544
1402,1509,838,0.98,2.645544
1417,1509,838,0.8,2.645544
1433,1509,838,0.66,2.645544
1448,1509,838,0.54,2.645544
1463,1509,838,0.44,2.645544
1478,1509,838,0.44,2.645544
1311,1524,838,0.55,2.645544
1326,1524,838,0.56,2.645544
1341,1524,838,0.65,2.645544
