X,Y,Z,% Cu,,,,,,,,
4589.81,5222.31,3098.81,-0.20138206,,,,,,,,
4502.96,5546.38,2923.79,-0.328504067,,,,,,,,
4348.81,4979.26,2904.2,-1.433385969,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4471.57,5254.22,2821.16,-2.3227878,,,,,,,,
4279.78,5282.53,3021.15,-1.680933914,,,,,,,,
4594.1,5104.55,3022.48,-0.079043207,,,,,,,,
4612.08,5104.27,3039.85,-0.353252237,,,,,,,,
4581.1,5405.24,3048.24,1.092594216,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4607.49,5222.58,3116.48,-3.275446176,,,,,,,,
4706.14,5579.1,2876.45,-1.580850456,,,,,,,,
4491.33,5540.25,2997.63,-0.281302465,,,,,,,,
4583.57,5584.86,2997.7,-0.473529839,,,,,,,,
4566.02,5585.1,2979.9,-0.517514612,,,,,,,,
4693.77,4983.02,2935.67,-1.524178068,,,,,,,,
4362.73,5460.3,3087.88,-1.177655496,,,,,,,,
4666.19,5519.61,2853.65,0.086911372,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4634.16,5402.46,3101.18,-3.729701449,,,,,,,,
4488.96,5522.95,2936.53,-0.749505914,,,,,,,,
4701.61,5519.98,2888.94,-1.444771291,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4789.34,5042.1,3027.7,-2.915074371,,,,,,,,
4486.59,5458.22,2957,-0.520202786,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4595.62,5343.32,3103.34,0.473248359,,,,,,,,
4565.88,5402.31,2942.96,0.602018247,,,,,,,,
4565.88,5402.31,2942.96,0.602018247,,,,,,,,
4565.88,5402.31,2942.96,0.602018247,,,,,,,,
4565.88,5402.31,2942.96,0.602018247,,,,,,,,
4565.88,5402.31,2942.96,0.602018247,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4320.89,5282.96,3139.2,-3.611918413,,,,,,,,
4694.15,5039.94,2911.79,-1.224175512,,,,,,,,
4772.44,5520.72,2959.53,-0.687165109,,,,,,,,
4448.41,5220.08,2957.38,-1.491654877,,,,,,,,
4479.71,5279.35,3015.54,-1.9618363,,,,,,,,
4499.22,5100.22,3008.65,-0.338835026,,,,,,,,
4580,5463,2739.5,-0.199304962,,,,,,,,
4493.67,5228.21,2918.77,-1.262308381,,,,,,,,
4710.02,5040.3,2931.11,-0.828279855,,,,,,,,
4519.79,5700.6,2922.8,-1.085301275,,,,,,,,
4611.34,5460.05,2989.59,-0.279713903,,,,,,,,
4657.9,5283.25,3085.27,-0.667089646,,,,,,,,
4582.51,5226.81,3006.7,0.589673772,,,,,,,,
4582.51,5226.81,3006.7,0.589673772,,,,,,,,
4582.51,5226.81,3006.7,0.589673772,,,,,,,,
4582.51,5226.81,3006.7,0.589673772,,,,,,,,
4582.51,5226.81,3006.7,0.589673772,,,,,,,,
4675.38,5224,3063.13,-0.346724613,,,,,,,,
4444.01,4980.92,3020.11,-0.635633274,,,,,,,,
4514.06,4911.97,2939.71,-0.593844979,,,,,,,,
4580,5463,2964.5,0.364781993,,,,,,,,
4383.04,5405.92,2931.42,-1.21402314,,,,,,,,
4478.25,5586.33,2890.89,-0.789658081,,,,,,,,
4492.24,5415.33,2986.99,-0.831949583,,,,,,,,
4578.04,5343.54,3085.57,0.532273955,,,,,,,,
4578.04,5343.54,3085.57,0.532273955,,,,,,,,
4578.04,5343.54,3085.57,0.532273955,,,,,,,,
4578.04,5343.54,3085.57,0.532273955,,,,,,,,
4578.04,5343.54,3085.57,0.532273955,,,,,,,,
4365.3,5406.26,2913.8,-1.130102956,,,,,,,,
4674.13,5282,3022.13,0.160927664,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4465.9,5402.77,3108.54,-3.405205403,,,,,,,,
4496.35,4912.07,2922.06,-1.174414002,,,,,,,,
4293.51,5101.7,2975.07,-1.197328262,,,,,,,,
4807.35,5582.56,2933.41,-1.297551151,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4641.6,5341.61,2998.31,1.506784839,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4790.15,5520.91,2977.18,-2.455736272,,,,,,,,
4476.44,5407.79,3059.92,-0.447225042,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
